Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Year Home Built,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate,Location 1
04/30/2022,434093,Dutchess,Millerton,12546,,Central Hudson Gas & Electric,01/21/2020,6428,Oil,,"1,855",1,Home Performance,Single Family,Building Shell,752,24,537,"Millerton, NY 12546
(41.955234, -73.532337)"
04/30/2022,439927,Saratoga,Corinth,12822,,National Grid,01/13/2020,10916,Oil,,"2,066",1,Home Performance,Single Family,Building Shell,400,31,589,"Corinth, NY 12822
(43.250373, -73.862657)"
09/30/2021,412360,Wayne,Lyons,14489,,New York State Electric & Gas,06-11-2019,5322,Propane,,"1,028",1,Home Performance,Mobile,Building Shell,410,18,472,"Lyons, NY 14489
(43.084482, -76.993653)"
04/30/2022,427637,Warren,Queensbury,12804,,National Grid,12/24/2019,3979,Oil,1957,"2,180",1,Home Performance,Single Family,Building Shell,510,19,326,"Queensbury, NY 12804
(43.335343, -73.676867)"
09/30/2021,327342,Herkimer,Ilion,13357,National Grid,Municipal,01/19/2018,6285,Natural Gas,1893,"1,452",1,Home Performance,Single Family,Building Shell,0,59,536,"Ilion, NY 13357
(42.982885, -75.066909)"
04/30/2022,380860,Putnam,Patterson,12563,,New York State Electric & Gas,12-03-2019,2754,Oil,1973,"3,024",1,Home Performance,Single Family,Building Shell,510,13,303,"Patterson, NY 12563
(41.488946, -73.584646)"
04/30/2022,429809,Queens,Queens,11369,,Consolidated Edison,11/18/2019,7762,Oil,,"1,216",1,Home Performance,Single Family,Building Shell,510,41,929,"Queens, NY 11369
(40.763688, -73.872334)"
09/30/2021,378629,Jefferson,Antwerp,13608,,National Grid,05-06-2019,1849,Propane,2012,"1,080",1,Home Performance,Mobile,Building Shell,569,16,413,"Antwerp, NY 13608
(44.236426, -75.620322)"
04/30/2022,382581,Wayne,Newark,14513,,National Grid,10/31/2019,2087,Propane,,"1,740",1,Home Performance,Single Family,Building Shell,510,6,190,"Newark, NY 14513
(43.063468, -77.094618)"
09/30/2021,393957,Herkimer,Ilion,13357,,National Grid,04/25/2019,9994,Propane,1994,"1,344",1,Home Performance,Mobile,Building Shell,494,27,700,"Ilion, NY 13357
(42.982885, -75.066909)"
04/30/2022,417816,Oneida,Lee Center,13363,,National Grid,10/17/2019,6713,Other,,858,1,Home Performance,Mobile,Building Shell,0,25,507,"Lee Center, NY 13363
(43.31776, -75.510554)"
