id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
145,India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",25-04-2023 02:00:00,OZONE,1,80,44,NA
146,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25-04-2023 02:00:00,PM2.5,35,77,55,NA
147,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25-04-2023 02:00:00,PM10,41,145,84,NA
148,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25-04-2023 02:00:00,NO2,17,57,34,NA
149,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25-04-2023 02:00:00,NH3,3,8,5,NA
150,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25-04-2023 02:00:00,SO2,20,29,26,NA
151,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25-04-2023 02:00:00,CO,4,56,15,NA
152,India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25-04-2023 02:00:00,OZONE,55,102,68,NA
153,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25-04-2023 02:00:00,PM2.5,40,107,68,NA
154,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25-04-2023 02:00:00,PM10,54,226,124,NA
155,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25-04-2023 02:00:00,NO2,35,59,45,NA
156,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25-04-2023 02:00:00,NH3,8,10,9,NA
157,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25-04-2023 02:00:00,SO2,16,19,17,NA
158,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25-04-2023 02:00:00,CO,43,58,54,NA
159,India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",25-04-2023 02:00:00,OZONE,11,41,18,NA
160,India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25-04-2023 02:00:00,PM2.5,5,57,27,NA
161,India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25-04-2023 02:00:00,PM10,63,168,117,NA
162,India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25-04-2023 02:00:00,NO2,9,10,9,NA
163,India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25-04-2023 02:00:00,NH3,1,2,2,NA
164,India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25-04-2023 02:00:00,SO2,10,12,11,NA
165,India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25-04-2023 02:00:00,CO,9,14,13,NA
166,India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",25-04-2023 02:00:00,OZONE,3,8,5,NA
