Reporting Period,Project ID,Project County,Project City,Project ZIP,Gas Utility,Electric Utility,Project Completion Date,Total Project Cost,Pre-Retrofit Home Heating Fuel Type,Size Of Home,Number Of Units,Job Type,Type Of Dwelling,Measure Type,Estimated Annual kWh Savings,Estimated Annual MMBtu Savings,First Year Modeled Project Energy Savings $ Estimate
2021-09-30T00:00:00,424647,Columbia,Chatham,12037,NA,New York State Electric & Gas,2020-01-07T00:00:00,2000,Propane,980,1,Home Performance,Mobile,Building Shell,343,1,65
2021-09-30T00:00:00,470183,Kings,Brooklyn,11236,National Grid,Consolidated Edison,2020-09-08T00:00:00,7018,Natural Gas,"3,600",1,Home Performance,Single Family,Building Shell,1017,30,566
2021-09-30T00:00:00,466840,Cayuga,Port Byron,13140,New York State Electric & Gas,New York State Electric & Gas,2021-05-04T00:00:00,3331,Natural Gas,Report SF less than 800,1,Home Performance,Mobile,Building Shell,0,25,244
2021-09-30T00:00:00,497367,Herkimer,Herkimer,13350,National Grid,National Grid,2021-08-10T00:00:00,5228,Natural Gas,"1,305",1,Home Performance,Single Family,Building Shell,54,10,112
2021-09-30T00:00:00,416496,Monroe,Rochester,14608,Rochester Gas & Electric,Rochester Gas & Electric,2019-10-31T00:00:00,2980,Natural Gas,"1,415",1,Home Performance,Single Family,Building Shell,0,15,130
2021-09-30T00:00:00,456854,Oswego,Oswego,13126,National Grid,National Grid,2020-12-01T00:00:00,9554,Natural Gas,885,1,Home Performance,Single Family,Building Shell,510,13,157
2021-09-30T00:00:00,441149,Oneida,Sauquoit,13456,NA,National Grid,2020-06-19T00:00:00,4980,Oil,"1,870",1,Home Performance,Single Family,Building Shell,510,29,557
2021-09-30T00:00:00,427262,Queens,Queens,11364,Consolidated Edison,Consolidated Edison,2019-09-25T00:00:00,4915,Natural Gas,"1,656",1,Home Performance,Single Family,Building Shell,1059,29,638
2021-09-30T00:00:00,492654,Monroe,Rochester,14609,Rochester Gas & Electric,Rochester Gas & Electric,2021-03-04T00:00:00,817,Natural Gas,884,1,Home Performance,Single Family,Building Shell,54,3,29
2021-09-30T00:00:00,475322,Erie,Angola,14006,National Fuel Gas Distribution,National Grid,2021-01-19T00:00:00,1093,Natural Gas,"1,764",1,Home Performance,Single Family,Building Shell,0,4,28
2021-09-30T00:00:00,487700,Oswego,Oswego,13126,NA,National Grid,2021-09-07T00:00:00,28743,Propane,Report SF less than 800,1,Home Performance,Mobile,Building Shell,1488,116,2976
2021-09-30T00:00:00,428197,Herkimer,Herkimer,13350,National Grid,National Grid,2019-12-06T00:00:00,2082,Natural Gas,"1,326",1,Home Performance,Single Family,Building Shell,494,5,94
2021-09-30T00:00:00,475395,Wayne,Sodus,14551,Rochester Gas & Electric,Rochester Gas & Electric,2020-10-27T00:00:00,1725,Natural Gas,"2,640",1,Home Performance,Single Family,Building Shell,510,8,113
2021-09-30T00:00:00,480110,Herkimer,Little Falls,13365,NA,National Grid,2021-05-04T00:00:00,7889,Propane,"1,261",1,Home Performance,Single Family,Building Shell,2968,23,869
2021-09-30T00:00:00,412815,Delaware,Hancock,13783,NA,New York State Electric & Gas,2019-07-15T00:00:00,5658,Kerosene,864,1,Home Performance,Mobile,Building Shell,1215,15,452
2021-09-30T00:00:00,491675,Queens,Queens,11435,National Grid,Consolidated Edison,2021-03-11T00:00:00,7232,Natural Gas,"1,936",1,Home Performance,Single Family,Building Shell,510,58,768
2021-09-30T00:00:00,457517,Niagara,Lockport,14094,New York State Electric & Gas,New York State Electric & Gas,2020-07-07T00:00:00,1387,Natural Gas,"1,400",1,Home Performance,Single Family,Building Shell,510,4,92
2021-09-30T00:00:00,470794,Fulton,Dolgeville,13329,NA,National Grid,2021-01-14T00:00:00,7431,Propane,980,1,Home Performance,Mobile,Building Shell,400,37,799
2021-09-30T00:00:00,421423,Onondaga,Syracuse,13206,National Grid,National Grid,2019-12-24T00:00:00,5301,Natural Gas,"1,358",1,Home Performance,Single Family,Building Shell,301,38,344
2021-09-30T00:00:00,419382,Montgomery,Amsterdam,12010,National Grid,National Grid,2019-09-11T00:00:00,4043,Natural Gas,"1,610",1,Home Performance,Single Family,Building Shell,477,28,284
2021-09-30T00:00:00,463822,Onondaga,Camillus,13031,National Grid,National Grid,2020-08-27T00:00:00,1374,Natural Gas,"1,896",1,Home Performance,Single Family,Building Shell,393,10,123
2021-09-30T00:00:00,475105,Wayne,Newark,14513,New York State Electric & Gas,New York State Electric & Gas,2021-02-23T00:00:00,7812,Natural Gas,924,1,Home Performance,Mobile,Building Shell,0,51,493
2021-09-30T00:00:00,412081,Dutchess,Arlington,12603,NA,Central Hudson Gas & Electric,2019-06-21T00:00:00,7843,Oil,"1,600",1,Home Performance,Single Family,Building Shell,460,50,1026
2021-09-30T00:00:00,473316,Oswego,Fulton,13069,National Grid,National Grid,2020-12-17T00:00:00,6082,Natural Gas,"2,272",1,Home Performance,Single Family,Building Shell,510,35,346
2021-09-30T00:00:00,418913,Niagara,Lockport,14094,NA,National Grid,2019-08-26T00:00:00,5548,Propane,"2,496",1,Electric Reduction,Single Family,Building Shell,443,27,716
2021-09-30T00:00:00,507348,Onondaga,Liverpool,13090,National Grid,National Grid,2021-06-22T00:00:00,7223,Natural Gas,"1,064",1,Home Performance,Mobile,Building Shell,693,16,260
2021-09-30T00:00:00,418150,Oneida,Blossvale,13308,NA,National Grid,2019-11-15T00:00:00,8502,Oil,"1,800",1,Home Performance,Single Family,Building Shell,740,58,1199
2021-09-30T00:00:00,371455,Steuben,Canisteo,14823,National Fuel Gas Distribution,New York State Electric & Gas,2019-07-08T00:00:00,5656,Natural Gas,"2,200",1,Home Performance,Single Family,Building Shell,443,27,299
2021-09-30T00:00:00,395851,Warren,Glens Falls,12801,National Grid,National Grid,2019-08-12T00:00:00,4872,Natural Gas,"1,036",1,Home Performance,Single Family,Building Shell,510,32,320
2021-09-30T00:00:00,484029,Oneida,Cassville,13318,NA,New York State Electric & Gas,2021-04-27T00:00:00,10352,Propane,Report SF less than 800,1,Home Performance,Single Family,Building Shell,510,23,614
2021-09-30T00:00:00,464996,Rockland,Spring Valley,10977,Orange & Rockland,Orange & Rockland,2021-01-26T00:00:00,4635,Electric,"2,964",1,Home Performance,Single Family,Building Shell,0,21,248
2021-09-30T00:00:00,492337,Oswego,Hannibal,13074,NA,National Grid,2021-08-24T00:00:00,6040,Propane,938,1,Home Performance,Mobile,Building Shell,0,13,361
2021-09-30T00:00:00,433631,Broome,Harpursville,13787,NA,New York State Electric & Gas,2020-01-14T00:00:00,2650,Oil,"1,424",1,Home Performance,Single Family,Building Shell,510,20,470
